0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.14900425,0.14887272,0.12908024,0.13542959,0.15685698,0.16433324,0.14902584,0.13471474,0.15967898,0.16058259,0.15829465,0.12836753,0.11875314,0.11155427,0.122688405,0.14236405,0.12316024,0.13445286,0.113588534,0.11663004,0.14125253,0.12594362,0.12575127,0.10152649,0.12300893
0.15190215,0.14384942,0.14829972,0.12573746,0.15062958,0.16856302,0.15517268,0.13110659,0.13498625,0.15606958,0.16254902,0.15139015,0.14829685,0.15923798,0.13925721,0.14854935,0.1374792,0.18176824,0.16524075,0.14306802,0.14951284,0.15311095,0.15705049,0.13167398,0.14574462
0.1570627,0.1318567,0.15278727,0.13978137,0.15671898,0.1505995,0.13912602,0.114805765,0.13460371,0.13140126,0.13393024,0.14156136,0.1306077,0.120325975,0.13075837,0.12294857,0.1276694,0.1346698,0.12674405,0.14304261,0.122776575,0.12879755,0.122850165,0.11983681,0.13149947
0.09755294,0.095462315,0.08353399,0.07560287,0.09073916,0.1298541,0.09992032,0.13977052,0.08900011,0.08441516,0.07921654,0.08505944,0.06515584,0.12298357,0.08462757,0.10074613,0.087459356,0.07433175,0.08035084,0.10183753,0.0806283,0.08305585,0.08392855,0.0789958,0.082968585
0.19228695,0.16125095,0.14150842,0.1315814,0.21238014,0.18506701,0.15628994,0.14797431,0.22683093,0.21787456,0.14717025,0.19132057,0.13716461,0.12617989,0.18236913,0.13134685,0.1489542,0.16076046,0.17317893,0.18425015,0.11096992,0.1506892,0.12367842,0.12871338,0.17769156
0.17075051,0.16023798,0.122799955,0.111931995,0.13163647,0.15872566,0.13035163,0.12729555,0.12756157,0.13772595,0.13757923,0.13156922,0.34366238,0.14917211,0.13686346,0.13287054,0.13573126,0.1411188,0.13633192,0.14587922,0.25244775,0.14946827,0.14849474,0.13234153,0.1335507
0.21607381,0.191286,0.16140832,0.121518984,0.19786298,0.17721194,0.17988501,0.16713579,0.18692392,0.16656512,0.18347965,0.17893068,0.10686343,0.14852543,0.16953403,0.13547951,0.14460212,0.15551299,0.16101615,0.14434242,0.12119101,0.13091893,0.1352856,0.11326479,0.11929136
0.19806942,0.21033023,0.18453231,0.16118248,0.17819452,0.1832737,0.20463724,0.17780916,0.18003756,0.18755855,0.17631961,0.18180645,0.13560537,0.24258801,0.17145999,0.15083371,0.16735958,0.26165825,0.16799574,0.15691899,0.14499547,0.14385656,0.14431114,0.12480678,0.13980533
0.16945986,0.16570081,0.15544659,0.1463934,0.18919231,0.1559335,0.16046831,0.15330367,0.17759506,0.18810523,0.16204125,0.1704366,0.11587043,0.12990505,0.1737272,0.15663715,0.17630558,0.15545553,0.17098297,0.18379681,0.13827264,0.14247814,0.16324,0.28719515,0.15170369
0.15019955,0.16411325,0.15899466,0.17854701,0.18499285,0.15940964,0.16104677,0.13558775,0.15389134,0.18687737,0.17450073,0.1715187,0.15297814,0.12578191,0.17219418,0.13957755,0.15177806,0.14898814,0.14884499,0.15424404,0.15358344,0.14945215,0.16137294,0.39496565,0.14254566
0.20373908,0.17889026,0.17167099,0.13927767,0.17644316,0.18175802,0.18735194,0.18625838,0.17077619,0.16174942,0.21814027,0.1762496,0.12347928,0.16436628,0.12551667,0.17943333,0.42412904,0.15404092,0.148311,0.13450249,0.16824028,0.1542632,0.14877963,0.09422822,0.12052502
0.15522869,0.13724984,0.14182611,0.13723136,0.12750304,0.12057348,0.1392351,0.12279768,0.15272488,0.13996166,0.13656515,0.152787,0.12612905,0.15204528,0.1452783,0.13509215,0.13900235,0.13303575,0.14476371,0.14110565,0.11085856,0.12672335,0.13784428,0.10427274,0.10998671
0.0889543,0.090730764,0.09365959,0.10133544,0.10396501,0.08088963,0.09590935,0.09077486,0.11362036,0.10529111,0.09763594,0.10585365,0.08472848,0.10081697,0.108173,0.07443253,0.10352621,0.1000157,0.112905025,0.13398796,0.122343056,0.119516246,0.11594827,0.13357292,0.08902391
0.08780377,0.09424541,0.09434336,0.07765482,0.08826434,0.19877566,0.14403681,0.13741316,0.10598606,0.09444492,0.09889832,0.09599731,0.19254589,0.07313116,0.12472859,0.086012825,0.10308136,0.10473118,0.11773889,0.117429174,0.099304765,0.13097575,0.12350382,0.12374349,0.17161672
0.23160969,0.20714712,0.15538532,0.5015643,0.26004565,0.19788714,0.1644904,0.21905038,0.2137844,0.24016166,0.22185174,0.21718381,0.1976248,0.14283246,0.22692285,0.33023655,0.18993919,0.21211904,0.20549205,0.19246203,0.15766662,0.19545783,0.21264963,0.17028096,0.21343482
0.19212319,0.1448149,0.17194444,0.14690793,0.16726913,0.18638861,0.16661204,0.17434399,0.18029465,0.15798198,0.1729104,0.18058336,0.17385018,0.24848276,0.16954122,0.15707193,0.16419064,0.16186059,0.1509339,0.15595469,0.15143596,0.16576575,0.16037957,0.14373238,0.15678275
0.15254731,0.114550255,0.11803205,0.0989857,0.14768282,0.13112777,0.13108853,0.134687,0.14977369,0.15596615,0.1459254,0.15723623,0.14407171,0.10496135,0.15360342,0.13823412,0.16960286,0.123919465,0.1425714,0.14618188,0.14871292,0.15717699,0.1645796,0.14087117,0.16215543
0.1478702,0.41025224,0.12742153,0.10956879,0.15433377,0.1607308,0.26396886,0.4103887,0.14230177,0.16563179,0.15459438,0.1582896,0.10297644,0.11034531,0.15939172,0.26697847,0.16034238,0.1596831,0.16956376,0.19068833,0.14865094,0.1667095,0.15717876,0.14809978,0.15574618
0.14939345,0.12471556,0.1297348,0.18999769,0.13822545,0.12517537,0.14410561,0.11940121,0.1587337,0.13127667,0.13273537,0.12694508,0.10009017,0.109525636,0.14979452,0.11345508,0.12248165,0.13976204,0.14614415,0.1410889,0.12082343,0.12318348,0.12275396,0.1024271,0.1247074
0.1574118,0.1431119,0.6458624,0.15684652,0.15528335,0.14177184,0.14786053,0.13538904,0.15513162,0.15328848,0.15466061,0.15749273,0.12658809,0.120945185,0.1698401,0.13759449,0.12689163,0.16434635,0.15950365,0.15471281,0.14323272,0.15722796,0.1476606,0.13272378,0.15397446
0.18720363,0.17199859,0.15238054,0.13513221,0.1681565,0.22635987,0.1895479,0.16233505,0.17774756,0.16685975,0.21700749,0.19475241,0.1579812,0.1493859,0.17056657,0.1775688,0.18111485,0.19319934,0.17815217,0.1769517,0.20669816,0.20872496,0.20901658,0.19829376,0.16215898
0.17494603,0.17427123,0.16473724,0.19447282,0.17938755,0.19269265,0.1592026,0.17610426,0.15933897,0.1649893,0.17790967,0.20037796,0.17952554,0.18148811,0.17850874,0.18232724,0.16461307,0.17478697,0.17327447,0.15857874,0.176396,0.17111844,0.18839389,0.18435799,0.18385188
0.18461129,0.20306858,0.19744465,0.18441522,0.20855835,0.20472501,0.19186357,0.20102109,0.2256283,0.21582504,0.22170724,0.21497227,0.47032076,0.18680133,0.24011192,0.20140953,0.1985056,0.20769504,0.22369188,0.24077028,0.20702799,0.23432016,0.22347209,0.22438322,0.23719369
0.12349749,0.12336044,0.12276384,0.1756961,0.14626543,0.11514497,0.11914683,0.10424559,0.124498464,0.1384489,0.11108718,0.1276411,0.083590664,0.12818883,0.11783595,0.09308039,0.097490974,0.11628193,0.10663973,0.08505769,0.08361593,0.09709188,0.07597454,0.083673604,0.111778826
0.1775595,0.19208428,0.16111152,0.5058048,0.19160494,0.16687633,0.17396745,0.15542856,0.1919556,0.17558275,0.15617473,0.16016583,0.19401643,0.47789353,0.14773707,0.16029668,0.14743666,0.16699518,0.1562492,0.15613995,0.12084119,0.14050531,0.13932607,0.12053341,0.15854664
