0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.01180178,-0.029031115,-0.005039581,-0.015744656,-0.01813602,-0.032556616,-0.08104442,-0.032527644,0.045401163,0.06547779,0.011367086,-0.015962591,-0.056169126,0.03630918,0.073112406,0.024479568,-0.029603474,0.01387834,0.05367094,-0.04001096,-0.061994877,-0.034773603,-0.0037636121,0.006681777,-0.043219168,-0.018887162,-0.01897062,-0.041242864,-0.04867586,-0.037247345,-0.03365783,-0.08142164,0.06238359,-0.015921209,-0.054352738,-0.013269963,0.00063334533,-0.022770884,0.06094811,-0.09805641,0.007275475,0.025021307,0.06235474,-0.07743775,0.030357497,0.0027872073,0.01722437,-0.010313451,0.023451714,-0.07205844,-0.09268716,0.17761202,0.011473845,0.07010717,0.0729877,0.006897548,-0.09710882,-0.015969722,-0.002483961,0.0042651766,0.12682652,0.018418519,-0.018942786,-0.050535515
0.050089393,0.09775517,0.02746125,0.008550561,-0.04969589,0.02920022,0.18857533,-0.0042373063,0.0026699577,0.12983574,-0.118705556,0.11551253,0.036465462,0.12354464,0.18562312,-0.002738522,-0.010774182,-0.25189707,0.076033756,-0.085111976,-0.10030663,-0.39059222,-0.038684905,-0.073934495,0.022676036,0.14284173,0.06119773,-0.13554801,-0.030535951,-0.04788898,-0.026684621,-0.21303813,-0.117688686,-0.041211516,-0.0690817,-0.13657792,-0.22061992,0.00453284,-0.14030813,-0.10781449,-0.026397727,-0.03387442,0.036224283,-0.011199257,-0.059569836,-0.087334424,-0.009929135,-0.025273254,-0.15539904,-0.20342988,-0.3636084,0.08089611,0.012974083,-0.2441156,-0.18761325,-0.29311135,-0.11552671,0.013720184,0.31918755,0.28325412,0.3031428,0.05130054,0.08853683,0.013681181
-0.007215823,0.2551927,0.15125896,0.12615529,0.09894529,0.22501636,0.78416646,0.040223304,-0.10718105,0.5120493,0.022835819,0.3711568,0.20915234,0.3457622,0.56595623,-0.04176395,-0.18453003,-0.65062636,-0.018242296,-0.15938242,-0.11613407,-0.8721795,-0.30102435,-0.4540387,0.11710995,0.47184566,0.26366287,0.118762664,0.0010591217,-0.23930582,-0.047125317,-0.6489128,-0.4239894,-0.089556836,-0.21396224,-0.54444784,-0.43646556,-0.027699824,-0.5686694,-0.3562861,-0.20774032,-0.17179851,-0.089495845,-0.119255304,-0.4372943,-0.3469979,-0.10912981,-0.31264856,-0.6631227,-0.7951681,-1.0675645,-0.11576742,-0.35088807,-0.62477106,-0.61733985,-0.87043583,0.087549515,0.30567774,0.8201898,0.7886522,0.66908157,0.06171004,0.47532168,0.3011671
0.123176925,0.29611802,0.3538778,0.21718013,0.3143566,0.26772922,1.309465,0.04826857,-0.40553877,0.6575871,0.43500584,0.28440234,0.17724818,0.5835572,0.7377711,-0.1508843,-0.26359954,-0.92258984,-0.28380504,-0.02801083,0.013204027,-0.77669114,-0.62103784,-0.60035235,0.07198181,0.5710129,0.4098084,0.34672058,0.03961806,-0.38117734,0.023829853,-0.4621636,-1.0782901,-0.19978884,-0.32267353,-1.0558974,-0.6729212,-0.16011065,-1.0935209,-1.0018144,-0.48025995,-0.4011318,-0.3168862,-0.31404796,-0.7223163,-0.64979875,-0.33803672,-0.60627675,-1.2150849,-1.1593678,-1.2574762,-0.5928071,-0.82571363,-0.998562,-1.0698129,-1.1681905,0.34198862,0.7127221,0.97203565,0.9232665,0.76217794,-0.018529702,0.7592475,0.5576791
0.32563287,0.42641562,0.472473,0.24018964,0.5044786,0.2623842,1.3996835,0.10284176,-0.82252103,0.54981077,0.15135992,-0.038920283,-0.058870364,0.060989033,0.24823858,-0.35430703,0.073272645,-0.74716157,-0.09189907,0.25485274,0.2600257,-0.43129295,-0.7496737,-0.28334525,0.23175758,0.49691287,0.43767256,0.427914,0.1771681,-0.3463614,0.058907647,0.50516987,-1.3764902,-0.35765973,-0.3533041,-1.4466875,-0.9293233,-0.4224608,-1.6021806,-1.1538862,-0.5249003,-0.70357656,-0.6162211,-0.73577905,-1.136107,-1.0142128,-0.6464912,-0.70381093,-1.2808057,-1.1141027,-1.4170501,-0.99907863,-0.9360718,-1.3872277,-1.2807839,-1.0582676,0.5957474,0.92998755,0.7462448,0.6546113,0.52238005,-0.09104993,0.6726208,0.56680924
0.6390761,0.37147444,0.49647576,0.19510566,0.60023206,0.40943435,0.82905877,0.09991926,-1.248707,0.23903276,-0.8673086,-0.69214183,-0.69540966,-0.96117187,-0.6967767,-0.7114114,0.5505784,-0.06487557,0.50713557,0.56733805,0.6905816,0.057318408,-0.55933744,0.4041105,0.5717732,0.2990447,0.42155313,0.7698369,0.2560319,-0.0696752,0.30263823,1.050488,-1.2849746,-0.4548022,-0.43058598,-1.5168197,-1.1592312,-0.5214125,-1.3176934,-0.77390826,-0.5802342,-1.0134754,-0.9543649,-1.0398324,-1.4099765,-1.2239889,-0.9046391,-0.86018914,-1.1740887,-0.6425606,-1.2113255,-1.1667362,-0.4770954,-1.0425609,-1.1617932,-0.4390929,0.75005144,0.816719,0.4056683,0.3907962,0.35674438,-0.019725462,0.4164843,0.35831368
0.63719857,0.021334039,0.4922287,0.1289087,0.7139501,0.57675105,0.24343047,0.017533125,-1.5252882,-0.7454238,-1.7351576,-1.2032079,-1.4567941,-1.9009485,-1.6861507,-1.1438935,1.258924,0.7006028,1.0984126,1.0029883,1.1713986,0.71488124,-0.06822683,0.8901837,0.9229952,0.14410211,0.567385,1.4020277,0.44692135,0.5427977,0.5031174,1.208464,-1.0531818,-0.5360534,-0.5113042,-1.2608595,-1.1865015,-0.6052821,-1.1377387,-0.5917148,-0.5369623,-1.15688,-1.2297969,-0.8950686,-1.2404835,-1.2581929,-1.0768309,-0.8003768,-0.8029928,0.114404954,-0.290744,-1.1747946,0.21282725,-0.2642147,-0.86386764,0.40510547,0.7898654,0.5024885,0.18806635,0.2931653,0.22517641,-0.0822941,0.15289944,0.72355527
0.48034972,-0.33389777,0.2979443,-0.011909382,0.5646813,0.60707945,-0.21936382,-0.085758105,-1.4674392,-1.7970167,-2.3390253,-1.4563318,-2.142161,-2.365687,-2.1620162,-1.4704903,1.9214617,1.1661706,1.4216049,1.5590839,1.49518,1.2760111,0.5489409,1.3759364,1.5353479,0.24224067,0.666905,1.625647,0.69918954,1.1878357,0.6917662,1.016043,-0.69852567,-0.54923797,-0.5529155,-0.8832286,-1.1867825,-0.76764745,-1.1336639,-1.0213041,-0.31995225,-1.055337,-1.3361961,-0.60138434,-0.86843574,-0.9840009,-1.1275915,-0.6203834,0.23566067,0.4350972,0.8336086,-0.7330335,0.755337,0.39334917,-0.43117023,1.0755433,0.9636212,0.27391353,0.2756375,0.40656766,-0.13030307,-0.36372852,-0.022555055,1.0739076
0.06981435,-0.43609795,-0.1241477,-0.21706927,0.31539577,0.438181,-0.4657479,-0.3082314,-1.247135,-2.4106748,-2.0897775,-1.9790124,-2.5895715,-2.6621802,-2.250172,-1.5632434,2.1899045,1.1575171,1.5695846,1.7383022,1.5498717,1.4696473,1.1155207,1.7705246,1.5809265,0.5231205,0.75626296,1.4561986,1.0117248,1.6436409,0.9707133,0.79191864,-0.44848713,-0.72048455,-0.6491084,-0.71303463,-1.1711541,-0.9178788,-0.8355954,-1.5942205,-0.032399707,-0.77112633,-1.1734482,-0.1819336,-0.35507542,-0.5473638,-1.0140389,-0.11441126,1.0395879,0.47707283,1.1531533,-0.13621996,1.1042669,0.6252305,-0.028615862,1.1942457,0.9325055,0.13967313,0.54806113,0.5915494,-0.52664506,-0.22515859,0.08221783,1.2555884
-0.24912374,-0.32678956,-0.57308453,-0.43433914,0.02537098,0.21916023,-0.34407842,-0.49110782,-0.92743737,-2.1800373,-1.8808157,-2.3430185,-2.1311648,-2.5200257,-1.9113499,-1.4416833,2.0797017,0.87022704,1.5999261,1.6467334,1.4978919,1.2841221,1.3808217,1.8384743,1.2869028,0.7516771,0.73611826,1.499136,1.4159232,1.8663293,1.4040709,0.7544046,-0.5207613,-0.99202573,-0.7067964,-0.9235614,-1.1587429,-0.8674011,-0.58636487,-1.4941367,0.31110647,-0.40154907,-0.9012758,0.19121467,0.4570118,-0.1636488,-0.73755676,0.41413027,1.1341102,0.5781548,0.965722,0.68900675,1.033416,0.8318,0.4353803,0.9915022,0.65484774,0.14120647,0.63383204,0.69996506,-0.23269258,0.21541601,0.28942236,1.5631527
