,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
x0,0.0,0.0974069816172363,0.08765381981644671,0.05408134270287018,0.08991133833049218,0.1411650159538774,0.11633297268823121,0.08330743867292369,0.0878809037729204,0.09493282384513581,0.13502249969692948,0.10605910931166435,0.12843877070994805,0.12326488463458211,0.10984343673872063,0.15606547425751896,0.08519073783688923,0.15484840768682495,0.08264235388191109,0.11976075938203826,0.1415650675778954,0.1155709604059616,0.12890481506490628,0.14644609013521726,0.10033892777546569
x1,0.06963567686445475,0.0,0.07174377137820903,0.07465009735095741,0.06330418876471938,0.09103862847957464,0.08515241303892603,0.09505277933239613,0.03564974717223873,0.07686758508993219,0.07948052442683248,0.0460472189981815,0.06540472403214842,0.24390067108041727,0.06650266139582116,0.08255705620995614,0.08373390168941773,0.16341200943854284,0.09325033009613974,0.09204701316020676,0.12463271924410332,0.11587026676974214,0.14018302304492505,0.15892565653560303,0.1397600315908049
x2,0.10073663142752536,0.09561557626090214,0.0,0.06749504938451138,0.08035250033534483,0.10138034190155837,0.07718851874836205,0.26435615235410187,0.09861299066796002,0.09466919323090457,0.09814530957879056,0.11977177817780123,0.09439965299593168,0.09376321016410831,0.12292568254268556,0.22348241133921404,0.15326191423890992,0.0780949552869687,0.11459652191348418,0.11306172634674196,0.09287565663417519,0.1344626055447978,0.13755670250283059,0.0910278046033443,0.15553385637465583
x3,0.08174508234039635,0.08650632899776022,0.05627037592931434,0.0,0.05450748324982636,0.20469052938118423,0.20216114819490383,0.6158665156159011,0.040218608393507015,0.04808873681184356,0.07081781453041681,0.06382640125948745,0.06938307390737557,0.492556842303194,0.06070463795454571,0.22859626051536608,0.09879046497322044,0.4039191132434563,0.022396384123732477,0.06763749319364526,0.10025526274282126,0.06328151860570981,0.050566391783539395,0.04393489309817144,0.0659782749084687
x4,0.13932849340462528,0.06155352948551188,0.08571323630082961,0.1445635597071589,0.0,0.0929840892535716,0.08162188534036935,0.1631865910082979,0.14213214973653632,0.10917863010639525,0.09813127321290131,0.12887857172199882,0.1272775898286911,0.12043216685588949,0.11996442745280876,0.09822499628997929,0.11756775568726423,0.15241202329705317,0.13103623145325757,0.15882216412902556,0.14294210111354866,0.12487026062294172,0.13314761256734048,0.21180843316153758,0.1746487911278764
x5,0.08543029926407544,0.13254162305779263,0.06628586960668538,0.09940012356966756,0.031188668807441287,0.0,0.12112480861306676,0.16053614388188445,0.06150444223326778,0.055632701214779826,0.0955561049261893,0.08583087273470578,0.24465282502342106,0.19948377677264345,0.06938017197622277,0.18970119175792124,0.29008919783014436,0.19119535241139315,0.07345750322393932,0.07293649216397477,0.6582435380758229,0.13111797579127038,0.13409425552311605,0.167204926694781,0.1122971980253826
x6,0.085848224528483,0.25563352034083403,0.09852123563453401,0.1114853657852012,0.06600616244940835,0.13373288089684085,0.0,0.28008952263168513,0.06477336069147362,0.09265081363292012,0.13827577209337708,0.09898924221490837,0.1610299470494458,0.14092064960744927,0.09274972677339782,0.3063699148513574,0.19930546930141171,0.0804781317866788,0.12665467788969817,0.10362071457995246,0.15645084141567922,0.12822813736062336,0.1204856883763507,0.13730045327613186,0.14001905590395097
x7,0.0774600394203865,0.15416886614497957,0.06262699452967391,0.0899338364910727,0.04349025720485119,0.23447996558944276,0.418435210849847,0.0,0.05783912904293914,0.09616760391246376,0.08565384807616755,0.06440856849945346,0.08879589361811496,0.6977542839497973,0.08309627050235872,0.17404220123200945,0.10505768109304284,0.6944888026801658,0.06423915565564622,0.08178527237937741,0.14378143765200824,0.0927430805168073,0.12088927490033267,0.027934243909405,0.10089132971903216
x8,0.14783995713829717,0.13837783306173287,0.13803278711545494,0.242974694464626,0.06277566038235931,0.08964970468214697,0.1393611429362096,0.25298129625312665,0.0,0.12358861451376871,0.16843279784076384,0.1319566536825444,0.18412912802102044,0.26669698538015857,0.12831781931325764,0.2393454798031757,0.25390595134908683,0.19352118395317744,0.09948105891146486,0.13701397360457726,0.22086430170320728,0.20862265018000478,0.1499499173070063,0.8863164061546019,0.2671159042216474
x9,0.14327970622374206,0.10341235478330522,0.13459967739145437,0.2515955312912397,0.07412792691431254,0.12057446008875435,0.13524533395349866,0.17173262179590304,0.09449492118009564,0.0,0.1072498359048992,0.10769856418424319,0.16754368393191565,0.13741219683773942,0.12023482561598751,0.22828598171552666,0.1095797616306756,0.1331457922155797,0.061280024761018764,0.1353545508694394,0.13224500993703867,0.13605579343863866,0.1349847055049894,0.9015096159542259,0.13057407234624555
x10,0.11024955547539196,0.07695404939287359,0.10353789142253099,0.1606648266691513,0.06084717380191015,0.1472622104567829,0.13141750352538334,0.05004418934350977,0.09196575202171012,0.10943818297862656,0.0,0.09837040520511908,0.08424962708724179,0.22150824517956644,0.10468647714314795,0.14667604687974214,0.8426728089875425,0.12306877483849672,0.06875679785670216,0.09115144611916949,0.18942365758922972,0.12150232128063862,0.11760908419643236,0.13343347950441672,0.15333536132983816
x11,0.09138217259528846,0.09091872172158018,0.05088063985263495,0.08474121852402068,0.07007593952826414,0.08283609054464458,0.08197461184914151,0.09492640804561764,0.08930754123615413,0.10050073736638336,0.12124108449579923,0.0,0.05517797032736397,0.10857537639571015,0.09495764382381394,0.1175591051478254,0.16655783171951663,0.08765877519022058,0.08650970397820297,0.12899830403984525,0.11224998432323473,0.12293438926765612,0.10547285113582726,0.14912339916350065,0.09450604380423294
x12,0.12768959119432885,0.0881063420132138,0.08403423927954844,0.11170315220593159,0.06895942965611361,0.12300428594128919,0.0721220464240379,0.10413942551771443,0.05939820082567301,0.0840216806334265,0.09668902322076883,0.07337894860256243,0.0,0.08614401716078456,0.053824957945040865,0.12338828400159216,0.14874923923727626,0.09598983821347293,0.05608503044933666,0.10070011253099108,0.33823299627211545,0.1140132423724115,0.08278833837554335,0.09149258812948341,0.11035842551923744
x13,0.08256469495851498,0.1670231578675199,0.06234891565123396,0.08091013702338576,0.06560059094658117,0.5322483965467791,0.2057961957939726,0.22065810313428094,0.04950366631480692,0.061867634556490074,0.06977015276655925,0.05899426695684177,0.46476842303411664,0.0,0.06034132046872594,0.1945890613742104,0.08139699777602905,0.1452327457579977,0.07594256918023365,0.06769231747440402,0.13000065921601936,0.0820890250343308,0.06454907238774472,0.10211641290670162,0.12191089266381869
x14,0.09878171038150645,0.114592438086052,0.11516992539743434,0.8639801662168728,0.08463240494090925,0.24799777751738522,0.14023693465129605,0.477731986068996,0.07230727005088945,0.07111520677381802,0.09284163909982908,0.08412738439040245,0.068674576495794,0.3220650104587465,0.0,0.7930674515408533,0.12051344354581266,0.2900752918850252,0.06282525015367221,0.1055983208689309,0.2208323567976658,0.07995748357909042,0.08413887869100162,0.1741631494882879,0.11352414627139988
x15,0.04485467574793836,0.04945657652290203,0.06351659237172941,0.09223291480199529,0.03562752408391203,0.19459348432737736,0.0949488192893633,0.07593037269231463,0.03760925630175516,0.0439073222200856,0.07619215401608603,0.06562263934218818,0.19173130590123813,0.5439434734775931,0.04927956197412641,0.0,0.039795760068464595,0.11649003411026715,0.03259689150001722,0.04260696498674221,0.10333565185889734,0.05202257127997003,0.06285227921252408,0.0759585309586877,0.05760969697278613
x16,0.05853652248580888,0.045968930931589436,0.0670531999764905,0.12018197535016131,0.03830710807026847,0.07647312734627253,0.06152149587999009,0.039672584163640445,0.0304873457400051,0.042820189678535486,0.06437131682248896,0.04403633637768332,0.06438097230635009,0.12055123751949458,0.055105584274690124,0.05920667292329832,0.0,0.044495258431512634,0.05205829263068097,0.049772778346830304,0.08844375670747073,0.04442511796297768,0.04336371396416045,0.053422298586756095,0.07300341605622704
x17,0.1075299261865147,0.7802084000070681,0.12401515784344522,0.16185379373313472,0.0503407500880401,0.18671892614960497,0.33181575354523235,0.855926368232692,0.06346061767418008,0.056211616497786776,0.17778209914213822,0.12749674476958858,0.1761771693987688,0.5286182306183596,0.07296178223622793,0.8016184291633713,0.08449185428135483,0.0,0.07982213310085153,0.07529769414575964,0.15367243307265496,0.0966034162279799,0.07637702832510282,0.1271820462214445,0.10253037755734966
x18,0.1412816739525126,0.05405370425313466,0.12319446052915053,0.26741278117093503,0.06584208346740629,0.11524604046589663,0.07687112174870134,0.08740040287013891,0.07879714264661565,0.07908751041360156,0.1531371936879929,0.12181883977844936,0.08790550726714946,0.1842742459786544,0.10462786135037766,0.11544477977762001,0.10554734349294959,0.0727344644043277,0.0,0.08095364431339129,0.13368733830437224,0.1261004964911022,0.11067873810937791,0.18315745062320427,0.12402799800058567
x19,0.058850189938116235,0.040284440113284935,0.9587064579081986,0.16261403920212208,0.0676804611527897,0.08834441147170356,0.0523771163665547,0.3124954073936849,0.06417716301336622,0.05353659467874564,0.07136578446322353,0.10058513178155484,0.07230356298831958,0.14972411331219584,0.08752428898258936,0.16493918248569558,0.10869485936316435,0.07167805507003404,0.10288231793399662,0.0,0.08371271560598856,0.08983158804908524,0.09989222811546336,0.0616519872864536,0.10848880158774671
x20,0.14603972193394427,0.1885853881188387,0.08445837255540689,0.11040734741866431,0.04685836114621208,0.18522710866531816,0.1506503501064445,0.1598366549825443,0.08184625959194346,0.08240704407550031,0.1892874304260502,0.12916775276147036,0.16932260307254074,0.17169711095830623,0.1033834963435057,0.21306725499555898,0.2703180485094487,0.1790087109949016,0.1057101390698533,0.0839949310009136,0.0,0.16718834110417952,0.14358380203416396,0.20184031250711473,0.06037063660612255
x21,0.13514716885925146,0.10632726739513458,0.0811356488412875,0.16070083265935228,0.10178183480161801,0.11350552006534138,0.09590544599510611,0.06639382244870078,0.08720582051947644,0.1136624859462984,0.13715895140532022,0.11901165218537345,0.1054501935098164,0.16607367160270983,0.0876562583011449,0.1410099886390322,0.11553570673964508,0.11774340341251249,0.12389558260206619,0.12329786700407407,0.17990025085971345,0.0,0.15412064212483334,0.10869039449523515,0.08945060422075626
x22,0.0723459852526671,0.09650620021508989,0.1315560020284466,0.20002406248359544,0.05833972655623892,0.1349898180065243,0.05374545891135588,0.08128700709649536,0.07176099399601134,0.08119639153276798,0.06341607318484663,0.06394735246512707,0.9862658102925492,0.15213911819326226,0.07611385139566595,0.07680044604441875,0.09167659887606616,0.11274229549773095,0.044523966977269305,0.0693684547212981,0.2573857975554844,0.0652055388426387,0.0,0.04822368382129826,0.10221410159715158
x23,0.09563847870434407,0.07267314857261718,0.10264586484134917,0.22454612144491848,0.062355338025280926,0.11345618160734589,0.06579831798991964,0.1159709502822545,0.0735920669865798,0.07795905246267479,0.10079999530251664,0.08517366947407752,0.12908695244803997,0.18026332030906445,0.11025400594164271,0.08403164740796919,0.11882310370786626,0.11762739734261361,0.05803857088230804,0.08073906104275307,0.08968176266248533,0.08379535220159753,0.09997409484089533,0.0,0.1184176373022798
x24,0.0990521755602976,0.15827312547887049,0.10366507433918346,0.7984761117525324,0.06314400776349911,0.3110795855195346,0.14122087533337457,0.38707444316414774,0.08033582257845899,0.10723379071120838,0.08312435823397807,0.06890649244363896,0.5415355827152668,0.8865898108654834,0.07603611805410014,0.40235707509100865,0.08405294903407123,0.2699212062545535,0.10578022552499411,0.10652282509077018,0.121649760717803,0.14249999674936578,0.10606583514973594,0.1504303291562541,0.0
