y,z,w,o,b,c
-0.2391196252443777,0.0520556731431565,0.0520556731431565,-0.0265346354035521,0.0865714204180753,0.5835029860861008
-0.3052707849468783,-0.0691135360383821,-0.0691135360383821,-0.0218302778492458,0.0947383087816244,0.5713260718549806
-0.2149467527072766,-0.0451805185401998,-0.0451805185401998,-0.0264388074530298,0.214587744933798,0.7401074421430535
-0.1674304662419732,0.0146361789091311,0.0146361789091311,0.0488618118644263,0.1136356305832986,0.7338110392060603
-0.2532513346012087,-0.018545427465063,-0.018545427465063,0.1650946890084439,0.2855143393703743,0.79935450377784
-0.2166855696422864,-0.1349818963538655,-0.1349818963538655,-0.4239985166172836,0.0781914730476489,0.7946783455845249
-0.1875023869486484,-0.0639941986699211,-0.0639941986699211,-0.1064242546963247,0.2760670159531271,0.7387774690030701
-0.1005622871200346,-0.0656990811405731,-0.0656990811405731,0.0170259595563271,0.2311527602479653,0.8737725148187605
-0.2499235104310451,0.0025823099668476,0.0025823099668476,-0.0502193730190816,0.165901519912942,0.7563190483103476
-0.2398728885990192,0.0124226223701627,0.0124226223701627,-0.2241070748583936,0.0840586504983847,0.7918037500642138
-0.0641076339496519,-0.0848119569345028,-0.0848119569345028,-0.0663688117790072,0.3151991669305524,0.7999383745574535
-0.0494563001870686,0.0288951373768234,0.0288951373768234,0.0104484118711914,0.1543579370842882,0.7806077201996534
-0.2251406007711609,-0.025199406033439,-0.025199406033439,-0.305329330041664,0.108985845136298,0.6575107109509154
-0.2074283161473196,-0.0868285975037253,-0.0868285975037253,-0.3090749888056621,0.3156664486384404,0.8049772755610665
0.0012582402318008,0.0775501125898164,0.0775501125898164,0.2534579090211915,-0.0006460340751169,0.705851159230306
-0.0033064041047728,-0.0157360243219429,-0.0157360243219429,-0.4540441430277103,0.2681936547671437,0.6060725111134848
-0.0930906783502587,0.0074395992311135,0.0074395992311135,-0.0811990563167362,0.4418211669422148,0.6653669040997418
-0.1363060954964559,-0.0287108412302342,-0.0287108412302342,-0.1155600131683689,0.0202284942889961,0.3106217126165664
